repo_owner_name,repo_name,repository_url,star_count,fork_count,pushedat,binding_file_path
NoamRosenberg,autodeeplab,https://github.com/NoamRosenberg/autodeeplab,304,73.0,2019-11-28T11:15:47Z,['test_output/autodeeplab/modeling/modules/src/inplace_abn.cpp']
youngwanLEE,MPViT,https://github.com/youngwanLEE/MPViT,327,38.0,2022-03-02T02:55:06Z,['test_output/MPViT/deformable_detr/models/ops/src/vision.cpp']
transformers,https://github.com/huggingface/transformers,113697,21628,2023-10-20T20:01:00Z,"['test_output/transformers/src/transformers/kernels/mra/torch_extension.cpp', 'test_output/transformers/src/transformers/kernels/yoso/fast_lsh_cumulation_torch.cpp', 'test_output/transformers/src/transformers/kernels/rwkv/wkv_op.cpp', 'test_output/transformers/src/transformers/kernels/deformable_detr/vision.cpp']",
google-deepmind,mujoco,https://github.com/google-deepmind/mujoco,6297,590,2023-10-23T13:36:19Z,"['test_output/mujoco/python/mujoco/simulate.cc', 'test_output/mujoco/python/mujoco/render.cc', 'test_output/mujoco/python/mujoco/callbacks.cc', 'test_output/mujoco/python/mujoco/structs.cc', 'test_output/mujoco/python/mujoco/enums.cc', 'test_output/mujoco/python/mujoco/constants.cc', 'test_output/mujoco/python/mujoco/errors.cc', 'test_output/mujoco/python/mujoco/rollout.cc', 'test_output/mujoco/python/mujoco/functions.cc']"
plaidml,plaidml,https://github.com/plaidml/plaidml,4546,398,2023-07-23T20:16:29Z,['test_output/plaidml/plaidml/bridge/pytorch/register.cc']
hpcaitech,ColossalAI,https://github.com/hpcaitech/ColossalAI,35000,3912,2023-10-23T11:05:04Z,"['test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/colossal_C_frontend.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/scaled_masked_softmax.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/moe_cuda.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/scaled_upper_triang_masked_softmax.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/layer_norm_cuda.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/cpu_adam.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/multihead_attention_1d.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/gptq/linear_gptq.cpp', 'test_output/ColossalAI/colossalai/kernel/cuda_native/csrc/smoothquant/binding.cpp', 'test_output/ColossalAI/examples/tutorial/sequence_parallel/data/datasets/helpers.cpp', 'test_output/ColossalAI/examples/community/roberta/preprocessing/mask.cpp']"
XingangPan,DragGAN,https://github.com/XingangPan/DragGAN,33410,3026,2023-10-11T08:11:16Z,"['test_output/DragGAN/torch_utils/ops/filtered_lrelu.cpp', 'test_output/DragGAN/torch_utils/ops/bias_act.cpp', 'test_output/DragGAN/torch_utils/ops/upfirdn2d.cpp', 'test_output/DragGAN/stylegan_human/torch_utils/op_edit/fused_bias_act.cpp', 'test_output/DragGAN/stylegan_human/torch_utils/op_edit/upfirdn2d.cpp', 'test_output/DragGAN/stylegan_human/torch_utils/ops/filtered_lrelu.cpp', 'test_output/DragGAN/stylegan_human/torch_utils/ops/bias_act.cpp', 'test_output/DragGAN/stylegan_human/torch_utils/ops/upfirdn2d.cpp', 'test_output/DragGAN/stylegan_human/pti/pti_models/e4e/stylegan2/op/fused_bias_act.cpp', 'test_output/DragGAN/stylegan_human/pti/pti_models/e4e/stylegan2/op/upfirdn2d.cpp']"
facebookresearch,fairseq,https://github.com/facebookresearch/fairseq,27761,5866,2023-10-23T15:25:17Z,"['test_output/fairseq/fairseq/clib/libbase/balanced_assignment.cpp', 'test_output/fairseq/fairseq/clib/libnat/edit_dist.cpp', 'test_output/fairseq/fairseq/clib/libnat_cuda/binding.cpp', 'test_output/fairseq/fairseq/clib/cuda/ngram_repeat_block_cuda.cpp', 'test_output/fairseq/fairseq/modules/lightconv_layer/lightconv_cuda.cpp', 'test_output/fairseq/fairseq/modules/dynamicconv_layer/dynamiconv_cpu.cpp', 'test_output/fairseq/fairseq/modules/dynamicconv_layer/dynamicconv_cuda.cpp', 'test_output/fairseq/examples/operators/alignment_train_cpu.cpp', 'test_output/fairseq/examples/operators/alignment_train_cuda.cpp']"
gnuradio,gnuradio,https://github.com/gnuradio/gnuradio,4520,1715,2023-10-22T18:03:33Z,"['test_output/gnuradio/gr-qtgui/python/qtgui/bindings/python_bindings.cc', 'test_output/gnuradio/gr-network/python/network/bindings/python_bindings.cc', 'test_output/gnuradio/gr-analog/python/analog/bindings/python_bindings.cc', 'test_output/gnuradio/gr-vocoder/python/vocoder/bindings/python_bindings.cc', 'test_output/gnuradio/gr-audio/python/audio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-blocks/python/blocks/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fec/python/fec/bindings/python_bindings.cc', 'test_output/gnuradio/gr-zeromq/python/zeromq/bindings/python_bindings.cc', 'test_output/gnuradio/gr-digital/python/digital/bindings/python_bindings.cc', 'test_output/gnuradio/gr-dtv/python/dtv/bindings/python_bindings.cc', 'test_output/gnuradio/gr-filter/python/filter/bindings/python_bindings.cc', 'test_output/gnuradio/gr-soapy/python/soapy/bindings/python_bindings.cc', 'test_output/gnuradio/gr-channels/python/channels/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/pmt/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/gnuradio/gr/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fft/python/fft/bindings/python_bindings.cc', 'test_output/gnuradio/gr-wavelet/python/wavelet/bindings/python_bindings.cc', 'test_output/gnuradio/gr-trellis/python/trellis/bindings/python_bindings.cc', 'test_output/gnuradio/gr-video-sdl/python/video_sdl/bindings/python_bindings.cc', 'test_output/gnuradio/gr-uhd/python/uhd/bindings/python_bindings.cc', 'test_output/gnuradio/gr-iio/python/iio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-utils/modtool/templates/gr-newmod/python/howto/bindings/python_bindings.cc', 'test_output/gnuradio/gr-pdu/python/pdu/bindings/python_bindings.cc']"
gnuradio,gnuradio,https://github.com/gnuradio/gnuradio,4520,1715,2023-10-22T18:03:33Z,"['test_output/gnuradio/gr-qtgui/python/qtgui/bindings/python_bindings.cc', 'test_output/gnuradio/gr-network/python/network/bindings/python_bindings.cc', 'test_output/gnuradio/gr-analog/python/analog/bindings/python_bindings.cc', 'test_output/gnuradio/gr-vocoder/python/vocoder/bindings/python_bindings.cc', 'test_output/gnuradio/gr-audio/python/audio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-blocks/python/blocks/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fec/python/fec/bindings/python_bindings.cc', 'test_output/gnuradio/gr-zeromq/python/zeromq/bindings/python_bindings.cc', 'test_output/gnuradio/gr-digital/python/digital/bindings/python_bindings.cc', 'test_output/gnuradio/gr-dtv/python/dtv/bindings/python_bindings.cc', 'test_output/gnuradio/gr-filter/python/filter/bindings/python_bindings.cc', 'test_output/gnuradio/gr-soapy/python/soapy/bindings/python_bindings.cc', 'test_output/gnuradio/gr-channels/python/channels/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/pmt/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/gnuradio/gr/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fft/python/fft/bindings/python_bindings.cc', 'test_output/gnuradio/gr-wavelet/python/wavelet/bindings/python_bindings.cc', 'test_output/gnuradio/gr-trellis/python/trellis/bindings/python_bindings.cc', 'test_output/gnuradio/gr-video-sdl/python/video_sdl/bindings/python_bindings.cc', 'test_output/gnuradio/gr-uhd/python/uhd/bindings/python_bindings.cc', 'test_output/gnuradio/gr-iio/python/iio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-utils/modtool/templates/gr-newmod/python/howto/bindings/python_bindings.cc', 'test_output/gnuradio/gr-pdu/python/pdu/bindings/python_bindings.cc']"
wjakob,nanogui,https://github.com/wjakob/nanogui,4409,554,2023-04-28T13:40:49Z,['test_output/nanogui/python/main.cpp']
gnuradio,gnuradio,https://github.com/gnuradio/gnuradio,4520,1715,2023-10-22T18:03:33Z,"['test_output/gnuradio/gr-qtgui/python/qtgui/bindings/python_bindings.cc', 'test_output/gnuradio/gr-network/python/network/bindings/python_bindings.cc', 'test_output/gnuradio/gr-analog/python/analog/bindings/python_bindings.cc', 'test_output/gnuradio/gr-vocoder/python/vocoder/bindings/python_bindings.cc', 'test_output/gnuradio/gr-audio/python/audio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-blocks/python/blocks/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fec/python/fec/bindings/python_bindings.cc', 'test_output/gnuradio/gr-zeromq/python/zeromq/bindings/python_bindings.cc', 'test_output/gnuradio/gr-digital/python/digital/bindings/python_bindings.cc', 'test_output/gnuradio/gr-dtv/python/dtv/bindings/python_bindings.cc', 'test_output/gnuradio/gr-filter/python/filter/bindings/python_bindings.cc', 'test_output/gnuradio/gr-soapy/python/soapy/bindings/python_bindings.cc', 'test_output/gnuradio/gr-channels/python/channels/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/pmt/bindings/python_bindings.cc', 'test_output/gnuradio/gnuradio-runtime/python/gnuradio/gr/bindings/python_bindings.cc', 'test_output/gnuradio/gr-fft/python/fft/bindings/python_bindings.cc', 'test_output/gnuradio/gr-wavelet/python/wavelet/bindings/python_bindings.cc', 'test_output/gnuradio/gr-trellis/python/trellis/bindings/python_bindings.cc', 'test_output/gnuradio/gr-video-sdl/python/video_sdl/bindings/python_bindings.cc', 'test_output/gnuradio/gr-uhd/python/uhd/bindings/python_bindings.cc', 'test_output/gnuradio/gr-iio/python/iio/bindings/python_bindings.cc', 'test_output/gnuradio/gr-utils/modtool/templates/gr-newmod/python/howto/bindings/python_bindings.cc', 'test_output/gnuradio/gr-pdu/python/pdu/bindings/python_bindings.cc']"
wjakob,nanogui,https://github.com/wjakob/nanogui,4409,554,2023-04-28T13:40:49Z,['test_output/nanogui/python/main.cpp']
Tencent,TNN,https://github.com/Tencent/TNN,4136,715,2023-10-19T06:35:17Z,"['test_output/TNN/tools/onnx2tnn/onnx-converter/onnx2tnn_convert.cc', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/include/pybind11/pybind11.h', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/include/pybind11/cast.h', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/include/pybind11/detail/internals.h', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/include/pybind11/detail/common.h', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/pybind11_cross_module_tests.cc', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/cross_module_gil_utils.cc', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/pybind11_tests.cc', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/pybind11_cross_module_tests.cpp', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/pybind11_tests.cpp', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/cross_module_gil_utils.cpp', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/test_embed/external_module.cc', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/test_embed/external_module.cpp', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/test_cmake_build/main.cpp', 'test_output/TNN/tools/onnx2tnn/onnx-converter/pybind11/tests/test_cmake_build/main.cc']"
microsoft,DeepSpeed,https://github.com/microsoft/DeepSpeed,28955,3338,2023-10-23T16:19:34Z,"['test_output/DeepSpeed/csrc/cpu/comm/ccl.cpp', 'test_output/DeepSpeed/csrc/cpu/lion/fused_lion.cpp', 'test_output/DeepSpeed/csrc/cpu/adam/fused_adam.cpp', 'test_output/DeepSpeed/csrc/adagrad/cpu_adagrad.cpp', 'test_output/DeepSpeed/csrc/random_ltd/pt_binding.cpp', 'test_output/DeepSpeed/csrc/lamb/fused_lamb_cuda.cpp', 'test_output/DeepSpeed/csrc/lion/fused_lion_frontend.cpp', 'test_output/DeepSpeed/csrc/lion/cpu_lion.cpp', 'test_output/DeepSpeed/csrc/spatial/csrc/pt_binding.cpp', 'test_output/DeepSpeed/csrc/utils/flatten_unflatten.cpp', 'test_output/DeepSpeed/csrc/aio/py_lib/py_ds_aio.cpp', 'test_output/DeepSpeed/csrc/deepspeed4science/evoformer_attn/attention.cpp', 'test_output/DeepSpeed/csrc/transformer/ds_transformer_cuda.cpp', 'test_output/DeepSpeed/csrc/transformer/inference/csrc/pt_binding.cpp', 'test_output/DeepSpeed/csrc/sparse_attention/utils.cpp', 'test_output/DeepSpeed/csrc/adam/fused_adam_frontend.cpp', 'test_output/DeepSpeed/csrc/adam/cpu_adam.cpp', 'test_output/DeepSpeed/csrc/quantization/pt_binding.cpp']"
microsoft,DeepSpeed,https://github.com/microsoft/DeepSpeed,28955,3338,2023-10-23T16:19:34Z,"['test_output/DeepSpeed/csrc/cpu/comm/ccl.cpp', 'test_output/DeepSpeed/csrc/cpu/lion/fused_lion.cpp', 'test_output/DeepSpeed/csrc/cpu/adam/fused_adam.cpp', 'test_output/DeepSpeed/csrc/adagrad/cpu_adagrad.cpp', 'test_output/DeepSpeed/csrc/random_ltd/pt_binding.cpp', 'test_output/DeepSpeed/csrc/lamb/fused_lamb_cuda.cpp', 'test_output/DeepSpeed/csrc/lion/fused_lion_frontend.cpp', 'test_output/DeepSpeed/csrc/lion/cpu_lion.cpp', 'test_output/DeepSpeed/csrc/spatial/csrc/pt_binding.cpp', 'test_output/DeepSpeed/csrc/utils/flatten_unflatten.cpp', 'test_output/DeepSpeed/csrc/aio/py_lib/py_ds_aio.cpp', 'test_output/DeepSpeed/csrc/deepspeed4science/evoformer_attn/attention.cpp', 'test_output/DeepSpeed/csrc/transformer/ds_transformer_cuda.cpp', 'test_output/DeepSpeed/csrc/transformer/inference/csrc/pt_binding.cpp', 'test_output/DeepSpeed/csrc/sparse_attention/utils.cpp', 'test_output/DeepSpeed/csrc/adam/fused_adam_frontend.cpp', 'test_output/DeepSpeed/csrc/adam/cpu_adam.cpp', 'test_output/DeepSpeed/csrc/quantization/pt_binding.cpp']"
facebookresearch,detectron2,https://github.com/facebookresearch/detectron2,26933,6676,2023-10-16T16:50:20Z,"['test_output/detectron2/detectron2/layers/csrc/vision.cpp', 'test_output/detectron2/projects/TensorMask/tensormask/layers/csrc/vision.cpp']"
